# mark component_1_count component_2_count component_3_count total_fit_count data_count
8.5000000000e+01 7.4860222272e+03 2.3854549398e+03 1.7186840551e+02 1.0043345573e+04 1.5784000000e+04
8.6000000000e+01 7.4701012232e+03 2.4163555490e+03 2.2800044622e+02 1.0114457218e+04 8.9550000000e+03
8.7000000000e+01 7.4485405455e+03 2.4468517723e+03 2.7474613952e+02 1.0170138457e+04 8.1890000000e+03
8.8000000000e+01 7.4216005962e+03 2.4769567996e+03 3.0769713176e+02 1.0206254528e+04 7.7220000000e+03
8.9000000000e+01 7.3748698367e+03 2.4804046734e+03 1.8043565519e+02 1.0035710165e+04 7.7500000000e+03
9.0000000000e+01 7.3409286458e+03 2.5114206885e+03 2.3846682506e+02 1.0090816159e+04 1.5302000000e+04
9.1000000000e+01 7.3016532931e+03 2.5419393678e+03 2.8648582411e+02 1.0130078485e+04 8.8100000000e+03
9.2000000000e+01 7.2573273210e+03 2.5720226357e+03 3.2014151909e+02 1.0149491476e+04 7.9760000000e+03
9.3000000000e+01 7.1950914114e+03 2.5750014562e+03 1.8932874167e+02 9.9594216092e+03 7.7160000000e+03
9.4000000000e+01 7.1442356223e+03 2.6059412298e+03 2.4928596625e+02 9.9994628184e+03 7.8320000000e+03
9.5000000000e+01 7.0884741341e+03 2.6364560970e+03 2.9858267450e+02 1.0023512906e+04 1.4652000000e+04
9.6000000000e+01 7.0281078082e+03 2.6664310645e+03 3.3293806962e+02 1.0027476942e+04 8.6760000000e+03
9.7000000000e+01 6.9517628575e+03 2.6688377371e+03 1.9855393758e+02 9.8191545321e+03 7.9780000000e+03
9.8000000000e+01 6.8855499264e+03 2.6996707679e+03 2.6046254144e+02 9.8456832357e+03 7.6400000000e+03
9.9000000000e+01 6.8149642555e+03 2.7299590484e+03 3.1103986522e+02 9.8559631692e+03 7.4760000000e+03
1.0000000000e+02 6.7403173841e+03 2.7598101995e+03 3.4608902980e+02 9.8462166134e+03 1.4246000000e+04
1.0100000000e+02 6.6516396522e+03 2.7615421343e+03 2.0811727141e+02 9.6212990578e+03 8.4780000000e+03
1.0200000000e+02 6.5720057780e+03 2.7921762313e+03 2.7200087207e+02 9.6361828814e+03 7.7770000000e+03
1.0300000000e+02 6.4886139249e+03 2.8222185035e+03 3.2386017435e+02 9.6346926027e+03 7.3800000000e+03
1.0400000000e+02 6.4017791961e+03 2.8516869381e+03 3.5959624074e+02 9.6130623750e+03 7.3970000000e+03
1.0500000000e+02 6.3028424885e+03 2.8527350974e+03 2.1802450208e+02 9.3736020880e+03 1.3571000000e+04
1.0600000000e+02 6.2120140911e+03 2.8830755109e+03 2.8390490475e+02 9.3789945067e+03 8.2870000000e+03
1.0700000000e+02 6.1180987490e+03 2.9127767583e+03 3.3704596154e+02 9.3679214688e+03 7.3740000000e+03
1.0800000000e+02 6.0214079193e+03 2.9418584385e+03 3.7346111807e+02 9.3367274759e+03 7.3590000000e+03
